Date,Open,High,Low,Close,Adj Close,Volume
2022-02-09,106.459999,108.269997,104.120003,104.790001,97.955902,15269800
2022-02-10,104.599998,106.639999,104.459999,105.320000,98.451324,8605700
2022-02-11,105.489998,106.139999,104.080002,104.239998,97.441765,5923100
2022-02-14,104.070000,104.150002,102.029999,103.000000,96.282631,7663400
2022-02-15,103.860001,104.519997,102.529999,102.970001,96.254585,4441300
2022-02-16,103.050003,104.239998,102.830002,103.940002,97.161331,5623900
2022-02-17,103.650002,103.940002,102.059998,102.300003,95.628296,4635600
2022-02-18,102.550003,102.989998,101.220001,102.129997,95.469368,4850700
2022-02-22,102.160004,102.779999,101.029999,101.919998,95.273064,4776700
2022-02-23,102.540001,103.480003,101.970001,102.239998,95.572197,4947700
2022-02-24,100.260002,100.949997,98.459999,100.769997,94.198059,7055300
2022-02-25,101.400002,104.860001,101.190002,104.300003,97.497849,6573400
2022-02-28,101.290001,103.730003,101.290001,103.650002,96.890244,6678100
2022-03-01,103.209999,103.500000,100.959999,102.050003,95.394592,5642900
2022-03-02,103.010002,105.029999,101.949997,104.430000,97.619377,5031700
2022-03-03,104.489998,105.709999,103.480003,104.540001,97.722198,5741900
2022-03-04,102.709999,105.279999,102.070000,105.190002,98.329811,5347300
2022-03-07,104.489998,106.809998,103.739998,104.559998,97.740883,6424200
2022-03-08,105.070000,105.870003,102.250000,102.360001,95.684372,6801100
2022-03-09,104.540001,104.930000,102.370003,103.599998,96.843498,4936900
2022-03-10,103.099998,104.260002,102.570000,104.080002,97.292206,3595000
2022-03-11,104.169998,105.180000,103.389999,103.470001,96.721992,4799000
2022-03-14,103.930000,104.589996,101.089996,104.489998,97.675453,5750300
2022-03-15,105.000000,107.449997,104.589996,106.980003,100.003082,6845100
2022-03-16,107.000000,107.320000,105.500000,107.110001,100.124588,5183000
2022-03-17,106.650002,108.639999,105.720001,108.559998,101.480019,5583100
2022-03-18,108.500000,108.620003,106.550003,107.300003,100.302200,7129700
2022-03-21,107.779999,109.690002,106.870003,107.389999,100.386314,4673800
2022-03-22,108.000000,108.199997,106.330002,107.230003,100.236763,3305700
2022-03-23,107.480003,107.769997,106.150002,106.199997,99.273949,3182400
2022-03-24,106.400002,108.070000,106.059998,108.050003,101.003296,3618100
2022-03-25,107.750000,108.870003,107.339996,108.559998,101.480019,3788800
2022-03-28,108.000000,108.250000,106.919998,108.040001,100.993927,3774400
2022-03-29,106.790001,107.290001,103.910004,104.680000,97.853073,8510700
2022-03-30,104.099998,105.360001,102.320000,103.550003,96.796768,7971600
2022-03-31,102.000000,102.769997,101.180000,101.209999,94.609360,8521100
2022-04-01,101.209999,102.190002,100.300003,101.089996,94.497192,6344300
2022-04-04,100.489998,100.540001,98.660004,100.000000,93.478287,6951500
2022-04-05,99.339996,101.279999,99.180000,99.459999,92.973495,7124900
2022-04-06,99.970001,102.290001,99.690002,102.059998,95.403931,6590200
2022-04-07,101.959999,103.989998,101.269997,103.610001,96.852852,5731600
2022-04-08,104.400002,107.519997,103.559998,106.610001,99.657196,7756100
2022-04-11,106.360001,107.730003,104.169998,104.449997,97.638069,6368600
2022-04-12,104.400002,105.029999,103.760002,104.639999,97.815674,4127900
2022-04-13,104.400002,105.800003,103.199997,104.980003,98.133507,3768300
2022-04-14,105.309998,105.750000,103.610001,103.680000,96.918289,5134800
2022-04-18,103.379997,104.489998,102.980003,103.419998,96.675240,3003400
2022-04-19,103.599998,104.410004,102.949997,103.860001,97.086548,3615300
2022-04-20,104.900002,107.599998,104.580002,106.639999,99.685242,5629800
2022-04-21,106.099998,106.400002,104.870003,105.180000,98.830177,3386100
2022-04-22,104.269997,104.309998,101.570000,101.680000,95.541473,5779200
2022-04-25,101.839996,102.389999,99.209999,101.769997,95.626038,4957500
2022-04-26,101.110001,102.910004,101.040001,101.430000,95.306572,3929000
2022-04-27,101.209999,102.330002,99.739998,100.849998,94.761574,4730800
2022-04-28,101.739998,102.599998,100.370003,100.849998,94.761574,5907500
2022-04-29,100.279999,100.440002,95.889999,96.129997,90.326530,8778300
2022-05-02,96.449997,97.320000,95.019997,96.500000,90.674194,6520200
2022-05-03,97.110001,97.730003,95.930000,95.980003,90.185593,5894400
2022-05-04,96.779999,101.209999,95.529999,100.570000,94.498489,9361200
2022-05-05,100.610001,100.610001,96.500000,97.730003,91.829941,8236300
2022-05-06,97.309998,100.930000,97.190002,100.690002,94.611252,8220400
2022-05-09,99.580002,100.150002,98.370003,98.860001,92.891724,7147000
2022-05-10,99.410004,100.099998,97.720001,98.160004,92.233986,5221800
2022-05-11,98.239998,99.870003,97.879997,97.989998,92.074242,4667200
2022-05-12,97.440002,98.260002,96.290001,98.250000,92.318558,4919400
2022-05-13,98.410004,98.620003,96.580002,97.480003,91.595047,4502300
2022-05-16,98.000000,99.349998,97.080002,98.550003,92.600441,3438600
2022-05-17,98.889999,99.529999,97.919998,99.379997,93.380318,4160200
2022-05-18,98.430000,98.430000,92.930000,94.019997,88.343918,8246800
2022-05-19,93.029999,93.680000,91.470001,93.139999,87.517044,7000000
2022-05-20,93.279999,95.230003,92.739998,94.930000,89.198990,5194200
2022-05-23,96.000000,97.070000,94.980003,95.570000,89.800339,6136200
2022-05-24,96.099998,97.010002,94.790001,96.449997,90.627213,3959200
2022-05-25,97.050003,98.040001,96.529999,97.150002,91.284958,3603600
2022-05-26,97.839996,98.870003,97.629997,97.800003,91.895729,4779100
2022-05-27,96.449997,98.099998,95.760002,98.050003,92.130615,4318000
2022-05-31,97.500000,98.160004,96.419998,96.750000,90.909111,9286800
2022-06-01,97.379997,97.769997,95.169998,96.540001,90.711784,4410400
2022-06-02,96.620003,97.279999,94.529999,97.230003,91.360138,4175600
2022-06-03,96.919998,97.139999,94.709999,94.900002,89.170799,4312700
2022-06-06,95.309998,96.309998,94.610001,95.720001,89.941292,3925100
2022-06-07,94.669998,96.139999,94.209999,95.919998,90.129219,4852400
2022-06-08,95.269997,95.290001,93.500000,93.879997,88.212372,3778300
2022-06-09,93.830002,94.669998,92.720001,92.739998,87.141182,4153500
2022-06-10,91.519997,94.010002,91.349998,93.169998,87.545235,4488600
2022-06-13,91.680000,92.889999,90.440002,90.889999,85.402878,4756900
2022-06-14,91.099998,91.949997,89.949997,90.639999,85.167969,4789100
2022-06-15,90.910004,92.239998,90.139999,91.449997,85.929062,4177100
2022-06-16,90.040001,90.599998,89.089996,89.849998,84.425667,5914400
2022-06-17,90.250000,91.080002,88.419998,88.660004,83.307510,8393800
2022-06-21,90.440002,91.739998,89.389999,91.080002,85.581413,4998500
2022-06-22,90.620003,92.879997,90.300003,91.290001,85.778740,4658600
2022-06-23,91.519997,92.970001,91.309998,92.370003,86.793541,4665400
2022-06-24,93.040001,94.779999,92.309998,94.519997,88.813728,6106200
2022-06-27,94.500000,94.989998,94.099998,94.540001,88.832527,4687200
2022-06-28,94.930000,95.949997,92.940002,93.199997,87.573418,4900100
2022-06-29,93.489998,94.250000,93.110001,93.349998,87.714363,3562400
2022-06-30,92.779999,93.360001,92.000000,92.660004,87.066025,6336200
2022-07-01,92.809998,94.099998,91.550003,93.940002,88.268753,5215100
2022-07-05,92.809998,93.199997,90.580002,92.529999,86.943871,4763700
2022-07-06,92.309998,93.820000,92.250000,93.190002,87.564018,3146100
2022-07-07,93.669998,94.459999,93.309998,93.730003,88.071419,3536400
2022-07-08,93.680000,95.410004,93.599998,94.180000,88.494255,3465000
2022-07-11,93.709999,95.360001,93.709999,94.709999,88.992264,3255900
2022-07-12,94.410004,96.339996,94.260002,94.980003,89.245964,5602000
2022-07-13,94.139999,94.889999,93.070000,93.449997,87.808327,3840400
2022-07-14,91.620003,92.980003,90.989998,92.830002,87.225769,3715500
2022-07-15,94.309998,95.820000,93.690002,95.370003,89.612427,4310800
2022-07-18,95.680000,95.680000,93.989998,94.290001,88.597618,4894700
2022-07-19,95.379997,97.129997,95.209999,96.790001,90.946686,6729500
2022-07-20,96.400002,96.510002,94.349998,95.150002,89.405693,4152500
2022-07-21,92.519997,93.459999,92.000000,93.190002,88.073105,6982200
2022-07-22,94.129997,94.430000,93.190002,94.059998,88.895355,4484600
2022-07-25,94.279999,95.720001,94.139999,94.489998,89.301735,4753200
2022-07-26,94.580002,95.599998,94.519997,95.309998,90.076721,4423800
2022-07-27,95.190002,96.220001,94.169998,95.870003,90.605965,3143900
2022-07-28,95.750000,96.190002,94.599998,95.529999,90.284630,4807500
2022-07-29,95.690002,96.099998,95.169998,95.680000,90.426399,5735600
2022-08-01,95.000000,96.559998,94.830002,96.019997,90.747726,4003900
2022-08-02,96.209999,96.519997,95.099998,95.370003,90.133423,4110500
2022-08-03,98.050003,101.879997,97.720001,101.379997,95.813416,11671800
2022-08-04,102.160004,104.410004,101.720001,101.870003,96.276520,7502900
2022-08-05,101.510002,103.550003,101.510002,102.260002,96.645103,4285200
2022-08-08,102.300003,102.760002,101.540001,102.000000,96.399384,4190200
2022-08-09,102.879997,104.339996,102.440002,103.690002,97.996590,5128800
2022-08-10,104.529999,104.559998,103.470001,104.050003,98.336823,4203400
2022-08-11,103.919998,105.480003,103.849998,104.250000,98.525833,4004900
2022-08-12,105.000000,106.870003,104.879997,106.389999,100.548332,5064400
2022-08-15,105.989998,106.680000,104.889999,106.269997,100.434921,2892600
2022-08-16,106.230003,107.260002,106.019997,106.430000,100.586151,3398400
2022-08-17,105.519997,106.510002,104.779999,104.919998,99.159050,3865900
2022-08-18,104.680000,104.889999,102.730003,103.639999,97.949326,6176800
2022-08-19,103.709999,104.620003,102.919998,104.050003,98.336823,5114300
2022-08-22,103.070000,103.500000,101.620003,102.339996,96.720703,5102900
2022-08-23,101.959999,101.959999,100.970001,101.129997,95.577148,2909300
2022-08-24,100.750000,101.400002,100.209999,101.279999,95.718918,5140300
2022-08-25,101.160004,102.180000,100.620003,102.150002,96.541138,3942600
2022-08-26,102.199997,102.500000,99.980003,100.059998,94.565903,2853200
2022-08-29,99.480003,100.910004,98.910004,100.330002,94.821075,2998800
2022-08-30,100.300003,100.540001,98.550003,98.800003,93.375092,4896700
2022-08-31,99.019997,99.809998,98.089996,98.150002,92.760788,6145800
2022-09-01,98.000000,99.980003,97.750000,99.930000,94.443039,3987000
2022-09-02,100.150002,101.320000,99.029999,99.440002,93.979950,5535300
2022-09-06,99.730003,100.070000,97.779999,98.730003,93.308937,5804100
2022-09-07,98.529999,101.110001,98.500000,100.680000,95.151863,4683800
2022-09-08,100.500000,102.370003,100.080002,102.260002,96.645103,5445500
2022-09-09,102.500000,102.849998,101.930000,102.150002,96.541138,3888500
2022-09-12,102.629997,103.589996,102.389999,103.040001,97.382278,3709300
2022-09-13,101.989998,102.650002,100.190002,100.449997,94.934479,3501000
2022-09-14,101.059998,101.790001,100.199997,101.050003,95.501549,4686000
2022-09-15,102.120003,103.419998,101.839996,102.309998,96.692352,5556500
2022-09-16,102.139999,102.459999,100.980003,102.059998,96.456078,8611600
2022-09-19,101.059998,102.169998,100.300003,102.110001,96.503342,4100600
2022-09-20,101.470001,101.989998,100.330002,101.339996,95.775612,3861900
2022-09-21,101.940002,102.959999,99.750000,99.769997,94.291832,3770600
2022-09-22,99.800003,100.930000,98.919998,99.830002,94.348534,4513200
2022-09-23,99.480003,99.550003,96.959999,98.349998,92.949806,4647000
2022-09-26,97.589996,98.349998,96.860001,97.739998,92.373291,5106600
2022-09-27,98.099998,99.309998,96.870003,97.209999,91.872391,4606600
2022-09-28,98.050003,98.820000,96.900002,98.160004,92.770226,4303400
2022-09-29,98.010002,98.209999,96.110001,96.980003,91.655029,5185200
2022-09-30,97.010002,97.839996,95.269997,95.370003,90.133423,5395000
2022-10-03,95.980003,98.169998,95.370003,97.760002,92.392197,3935800
2022-10-04,98.190002,100.629997,97.580002,100.519997,95.000633,5598400
2022-10-05,100.040001,101.080002,99.339996,100.449997,94.934479,3220800
2022-10-06,99.989998,100.160004,98.389999,98.580002,93.167160,4171000
